pais,iq,fuente,url,metodo,año
Antigua y Barbuda,70.48,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Cuba,83.9,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Dominica,66.03,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Granada,79.34,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Haití,82.1,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Islas Caimán,82.24,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Islas Turcas y Caicos,84.29,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Islas Vírgenes Británicas,76.69,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Jamaica,75.08,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Puerto Rico,81.99,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
República Dominicana,82.05,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
San Cristóbal y Nieves,70.48,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
San Vicente y las Granadinas,63.42,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Santa Lucía,73.68,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
Trinidad y Tobago,85.63,DataPandas (compila Lynn & Becker),https://www.datapandas.org/ranking/average-iq-by-country,LB2019 (según DataPandas),2019
