pais,iq,año,fuente_nombre,fuente_url,notas
Bahamas,87,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Fila Bahamas=87.
Barbados,92,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Agrega estudios 2006–2024; ver fila Barbados=92.
Bermuda,93,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Territorio dependiente; fila Bermuda=93.
Caribe Neerlandés,80,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Territorio dependiente; fila Caribbean Netherlands=80.
Cuba,90,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Fila Cuba=90.
Guyana,83,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Fila Guyana=83.
Islas Caimán,82,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Territorio dependiente; fila Cayman Islands=82.
Jamaica,83,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Fila Jamaica=83.
Puerto Rico,82,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Territorio dependiente; fila Puerto Rico=82.
República Dominicana,80,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Fila Dominican Republic=80.
Surinam,90,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Fila Suriname=90.
Trinidad y Tobago,88,2024,WorldData.info — IQ: Intelligence by country (full table),https://www.worlddata.info/iq-by-country.php?full=,Fila Trinidad and Tobago=88.
