pais,iq,año,fuente_nombre,fuente_url,notas
Antigua y Barbuda,70.5,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Antigua and Barbuda'."
Bahamas,87.0,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Bahamas'."
Barbados,91.6,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Barbados'."
Cuba,96.0,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,Valor tomado de la columna 'Average IQ (IIT) 2024' que WPR publica en su página 2025.
Dominica,66.0,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Dominica'."
Granada,79.3,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Grenada'."
Haití,82.1,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Haiti'."
Islas Caimán,82.2,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Cayman Islands'."
Islas Turcas y Caicos,84.3,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Turks and Caicos Islands'."
Islas Vírgenes Británicas,76.7,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'British Virgin Islands'."
Jamaica,75.1,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Jamaica'."
Puerto Rico,90.9,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Puerto Rico'."
República Dominicana,90.1,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Dominican Republic'."
San Cristóbal y Nieves,70.5,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Saint Kitts and Nevis'."
San Vicente y las Granadinas,63.4,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Saint Vincent and the Grenadines'."
Santa Lucía,73.7,2024,WorldPopulationReview (IIT column),https://worldpopulationreview.com/country-rankings/average-iq-by-country,"Tabla WPR, fila 'Saint Lucia'."
